PROJECT,DATE, DESCRIPTION , TYPE ,RECIPT TYPE,RECIPT NUMBER,NO. ITEMS, UNIT COST , TOTAL COST 
ADMIN,4/29/2023,"PAYROLL APRIL 17 - 23, 2023 (UTILITIES)",Overhead payroll,,,1,5000,5000
ADMIN,4/29/2023,"PAYROLL APRIL 17 - 23, 2023 (SAKI)",Overhead payroll,,,1,14300,14300
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/3/2023,SAFETY NET AND ROPE,Tools and Equip,OR,60467,1,2755,2755
ADMIN,5/3/2023,KIA REPAIR,Repair & Maintenance,VC,CV0523-02,1,6930,6930
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/3/2023,HAULING TIP BUDGET,Misc. Operation,VC,CV0523-03,1,1000,1000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/3/2023,LIFE LINE,Tools and Equip,VC,CV0523-04,1,3340,3340
ADMIN,5/3/2023,CUTTING DISC,Materials,VC,CV0523-05,1,2600,2600
ADMIN,5/3/2023,MATLANG RENTAL,Rental,VC,CV0523-06,1,5000,5000
ADMIN,5/4/2023,ASSORTED PPE,PPE,VC,CV0523-07,1,2800,2800
ADMIN,5/4/2023,WORKING GLOVES,PPE,VC,CV0523-08,7,100,700
ADMIN,5/4/2023,SHACKLES,Tools and Equip,VC,CV0523-08,4,500,2000
ADMIN,5/4/2023,BIR INCOME TAX RETURN,Misc. Admin,VC,CV0523-09,1,1059,1059
ADMIN,5/4/2023,BOOKEEPING SERVICE FEE (MARCH 2023),Misc. Admin,VC,CV0523-10,1,3000,3000
ADMIN,5/4/2023,"SSS CONTRIBUTION (JAN, FEB, MAR)",Misc. Admin,VC,CV0523-11,1,26430,26430
ADMIN,5/4/2023,SAFETY SHIRT PPE,PPE,VC,CV0523-12,1,3700,3700
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/5/2023,BLUE SHEET,Materials,VC,CV0523-13,1,4500,4500
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/6/2023,INSURANCE,Insurance,OR,1338997,1,2165.15,2165.15
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/6/2023,INSURANCE,Insurance,OR,1338998,1,5777.1,5777.1
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/6/2023,INSURANCE,Insurance,OR,1338993,1,7792.55,7792.55
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/6/2023,INSURANCE,Insurance,OR,1338994,1,14249.15,14249.15
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/6/2023,INSURANCE,Insurance,OR,1695110,1,3685.5,3685.5
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/6/2023,INSURANCE,Insurance,OR,1695110,1,3685.5,3685.5
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/6/2023,FORKLIFT RENTAL,Misc. Operation,VC,CV0523-22,1,8000,8000
ADMIN,5/6/2023,TOOL REPAIR,Tools and Equip,VC,CV0523-23,1,1000,1000
ADMIN,5/6/2023,OFFICE SUPPLY,Office Supply,OR,5568,1,1092,1092
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/6/2023,ASSORTED MATERIAL,Materials,OR,13702,1,2845,2845
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/6/2023,ASSORTED MATERIAL,Materials,OR,190456,1,225,225
ADMIN,5/6/2023,ELECTRIC BILL,Power Utility,VC,CV0523-26,1,16980,16980
ADMIN,5/6/2023,ELECTRIC BILL,Power Utility,VC,CV0523-27,1,25472.32,25472.32
ADMIN,5/6/2023,DRINKING WATER,Water Utility,OR,6479,1,1540,1540
ADMIN,5/6/2023,PETTY CASH VARIOUS PURCHASES,Misc. Admin,VC,CV0523-29,1,5222.56,5222.56
ADMIN,5/8/2023,RETRACTABLE LIFE LINE,Tools and Equip,VC,CV0523-30,2,4000,8000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/9/2023,MASO,Tools and Equip,OR,18164,2,550,1100
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/9/2023,TIE WIRE,Materials,OR,18165,2,90,180
ADMIN,5/10/2023,DOCUMENT PRINT,Misc. Admin,OR,87987,1,3120,3120
ADMIN,5/10/2023,ASSORTED PPE,PPE,VC,CV0523-34,1,7800,7800
ADMIN,5/11/2023,ASSORTED PPE,PPE,VC,CV0523-35,1,3700,3700
ADMIN,5/11/2023,ASSORTED PPE,PPE,VC,CV0523-36,1,6800,6800
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/11/2023,CHB TESTING,Misc. Operation,VC,CV0523-37,1,2500,2500
ADMIN,5/11/2023,SAFETY SHOES,PPE,VC,CV0523-38,1,1300,1300
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/11/2023,FORKLIFT BUDGET,Misc. Operation,VC,CV0523-39,1,1000,1000
ADMIN,5/12/2023,BILWANG TEMPFACIL RENTAL MAY 2023,Rental,VC,CV0523-40,1,2030,2030
ADMIN,5/12/2023,STRADA FUEL,Fuels,OR,103499,1,500,500
ADMIN,5/12/2023,STRADA FUEL,Fuels,OR,414688,1,1000,1000
ADMIN,5/12/2023,BOOK KEEPER FEE,Misc. Admin,VC,CV0523-44,1,3000,3000
ADMIN,5/12/2023,ASSORTED PPE,Misc. Admin,VC,CV0523-45,1,10550,10550
ADMIN,5/12/2023,TIG WELDING ACCESSORIES,Materials,VC,CV0523-46,1,3000,3000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/12/2023,HAULING TIP FOR SCAFFOLDING PIPES,Misc. Operation,VC,CV0523-47,1,1000,1000
ADMIN,5/12/2023,CANTER INTERIOR,Repair & Maintenance,OR,9417,1,2200,2200
ADMIN,5/12/2023,GUAGE REPAIR,Tools and Equip,VC,CV0523-54,1,1000,1000
ADMIN,5/13/2023,CERAMIC CUP,Materials,VC,CV0523-55,20,70,1400
ADMIN,5/13/2023,OFFICE PRINTER,Office Supply,VC,CV0523-56,1,5000,5000
21047794 (Service Request for Cathode Plate Buffing),5/13/2023,OXYGEN,Materials,OR,172,1,1000,1000
ADMIN,5/8/2023,LAMINATING FILM,Office Supply,VC,,1,899,899
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/8/2023,MISC MATERIALS,Materials,OR,5587,1,321,321
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/8/2023,MISC MATERIALS,Materials,OR,13752,1,350,350
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/9/2023,WHITE BOARD,Materials,OR,39325,1,425,425
ADMIN,5/9/2023,VULCATE,Repair & Maintenance,OR,11005,1,250,250
ADMIN,5/10/2023,BUS PAHANGIN,Repair & Maintenance,OR,11003,1,150,150
ADMIN,5/10/2023,MEALS,Misc. Admin,OR,31168,1,325,325
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/10/2023,ASSORTED MATERIALS,Materials,VC,,1,450,450
ADMIN,5/11/2023,VEHICLE PASS,Misc. Admin,VC,,1,50,50
ADMIN,5/11/2023,HAULING TIP,Misc. Admin,VC,,1,100,100
ADMIN,5/11/2023,LOAD ALLOWANCE,Misc. Admin,VC,,1,60,60
ADMIN,5/11/2023,FARE,Misc. Admin,VC,,1,110,110
ADMIN,5/11/2023,LOAD OFFICE,Misc. Admin,VC,,1,20,20
ADMIN,5/11/2023,SAFETY SIGNAGES,PPE,OR,823,1,190,190
ADMIN,5/12/2023,FUELS,Fuels,OR,375544,1,100,100
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/8/2023,METER TAPE,Tools and Equip,OR,301,1,75,75
ADMIN,5/12/2023,STRADA FUEL,Fuels,OR,240209,1,500,500
ADMIN,5/13/2023,GLOVES,PPE,VC,,1,300,300
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/13/2023,TAPE LON,Materials,OR,10688,5,15,75
ADMIN,5/13/2023,FARE,Materials,VC,,1,115,115
ADMIN,5/13/2023,OFFICE SUPPLIES,Office Supply,VC,,1,256,256
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/13/2023,METAL MARKER,Materials,OR,508802,2,420,840
ADMIN,5/13/2023,LUNCH,Misc. Admin,VC,,1,500,500
21047794 (Service Request for Cathode Plate Buffing),5/15/2023,ACETYLENE,Misc. Operation,VC,CV0523-60,1,2400,2400
ADMIN,5/15/2023,PAID INTEREST,Misc. Admin,VC,CV0523-61,1,225000,225000
ADMIN,5/15/2023,SAFETY SHOES,PPE,VC,CV0523-62,1,1300,1300
ADMIN,5/15/2023,TOOL LANYARD,Tools and Equip,VC,CV0523-63,1,3340,3340
ADMIN,5/16/2023,ACOR BUS MATERIALS,Repair & Maintenance,OR,226494,1,11020,11020
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/16/2023,DEFORMED BARS,Materials,OR,226494,1,6697.5,6697.5
ADMIN,5/16/2023,ASSORTED PPE,PPE,VC,CV0523-65,1,2300,2300
ADMIN,5/16/2023,HEAT RES. GLOVES,PPE,VC,CV0523-66,1,1200,1200
ADMIN,5/17/2023,FACE SHIELD VISOR,PPE,OR,508980,1,3600,3600
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/17/2023,PARTION AND OFFICE CHAIR,Materials,OR,665,1,17010,17010
ADMIN,5/18/2023,WELDING OVEN,Tools and Equip,VC,CV0523-69,3,3000,9000
ADMIN,5/18/2023,GFCI,Tools and Equip,VC,CV0523-69,1,800,800
ADMIN,5/18/2023,LIFTING SLING,Tools and Equip,VC,CV0523-69,8,1000,8000
ADMIN,5/18/2023,INSURANCE BOND,Insurance,VC,CV0523-69,1,8830,8830
ADMIN,5/18/2023,SAFETY BOOTS,PPE,VC,CV0523-71,1,1200,1200
ADMIN,5/18/2023,MATLANG TEMPFACIL RENTAL,Rental,VC,CV0523-72,1,5000,5000
ADMIN,5/18/2023,CABLE WIRE,Materials,VC,CV0523-73,1,1200,1200
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/19/2023,TESTING,Misc. Operation,VC,CV0523-74,1,2500,2500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/19/2023,FORKLIFT RENTAL,Misc. Operation,VC,CV0523-75,1,5000,5000
ADMIN,5/19/2023,ASSORTED PPE,PPE,VC,CV0523-76,1,1400,1400
ADMIN,5/20/2023,RADIATOR REPAIR PAYMENT,Repair & Maintenance,VC,CV0523-82,1,1200,1200
ADMIN,5/20/2023,CAMALONG,Tools and Equip,VC,CV0523-83,2,3500,7000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/15/2023,LEVEL BAR,Materials,OR,13826,2,270,540
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/19/2023,MATERIALS,Materials,OR,657642,1,560,560
ADMIN,5/19/2023,PCF,Misc. Admin,VC,,1,1774,1774
ADMIN,5/20/2023,STRADA TIRE,Repair & Maintenance,VC,CV0523-84,1,10710,10710
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),5/11/2023,INSURANCE,Insurance,OR,18888,1,15457,15457
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),5/11/2023,INSURANCE,Insurance,OR,1695182,1,1758.43,1758.43
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",5/11/2023,INSURANCE,Insurance,OR,18890,1,2627,2627
ADMIN,5/22/2023,LOAN INTEREST (4/15/23),Misc. Admin,VC,CV0523-86,1,20000,20000
ADMIN,5/22/2023,LOAN INTEREST ,Misc. Admin,VC,CV0523-87,1,5000,5000
ADMIN,5/22/2023,ASSORTED PPE,Misc. Admin,VC,CV0523-88,1,1300,1300
ADMIN,5/23/2023,ASSORTED PPE,Misc. Admin,VC,CV0523-89,1,4030,4030
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",5/23/2023,INSURANCE,Insurance,OR,67217,1,4051.5,4051.5
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",5/23/2023,INSURANCE,Insurance,OR,67219,1,8859.05,8859.05
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),5/23/2023,INSURANCE,Insurance,OR,67218,1,10355.1,10355.1
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),5/23/2023,INSURANCE,Insurance,OR,67220,1,18210.9,18210.9
ADMIN,5/23/2023,LIFTING SLIP,Misc. Admin,VC,CV0523-92,1,4000,4000
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/23/2023,SIKA FLEX,Materials,VC,CV0523-93,1,5900,5900
ADMIN,5/23/2023,DRINKING WATER,Water Utility,OR,6523,1,2020,2020
ADMIN,5/23/2023,ACOR BUS REGISTRATION,Misc. Admin,VC,CV0523-95,1,6300,6300
ADMIN,5/24/2023,OFFICE SUPPLIES,Misc. Admin,VC,42117,1,1215,1215
ADMIN,5/15/2023,MISC MATERIALS,Materials,OR,13851,1,595,595
ADMIN,5/15/2023,MISC MATERIALS,Materials,OR,13862,1,1550,1550
ADMIN,5/24/2023,OFFICE SUPPLIES,Office Supply,OR,13065,1,1048,1048
ADMIN,5/24/2023,OFFICE SUPPLIES,Office Supply,OR,13075,1,790,790
ADMIN,5/24/2023,PPE,PPE,VC,CV0523-99,1,1250,1250
ADMIN,5/25/2023,PPE,PPE,VC,CV0523-100,1,6100,6100
ADMIN,5/27/2023,FUELS,Fuels,OR,103969,1,1000,1000
ADMIN,5/27/2023,CARBIDE,Materials,VC,CV0523-107,1,8000,8000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/27/2023,MAGNETIC DRILL RENTAL,Tools and Equip,VC,CV0523-108,1,4000,4000
ADMIN,5/22/2023,FARE,Misc. Admin,VC,PCF0523-51,1,115,115
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/22/2023,ASSORTED MATERIALS,Materials,VC,PCF0523-52,1,240,240
ADMIN,5/22/2023,REFLECTIVE VEST,PPE,VC,PCF0523-53,1,150,150
ADMIN,5/22/2023,WATER,Water Utility,VC,PCF0523-54,1,177,177
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/23/2023,HARDIFLEX NAILS,Materials,VC,PCF0523-55,1,63,63
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/24/2023,STEELFILE,Tools and Equip,VC,PCF0523-56,1,285,285
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),5/24/2023,INSPECTOR SNACK,Misc. Operation,VC,PCF0523-57,1,374,374
ADMIN,5/24/2023,FUEL STRADA,Fuels,VC,PCF0523-58,1,700,700
ADMIN,5/25/2023,LOAD OFFICE,Misc. Admin,VC,PCF0523-59,1,23,23
ADMIN,5/25/2023,FARE BILWANG,Misc. Admin,VC,PCF0523-60,1,20,20
ADMIN,5/25/2023,LUNCH,Misc. Admin,VC,PCF0523-61,1,360,360
ADMIN,5/27/2023,LOAD ALLOWANCE,Misc. Admin,VC,PCF0523-62,1,400,400
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/27/2023,PLYWOOD,Materials,VC,PCF0523-65,1,400,400
ADMIN,5/27/2023,BLOOD PRESSURE,Tools and Equip,VC,PCF0523-66,1,734,734
ADMIN,5/27/2023,OFFICE STAFF LUNCH,Misc. Admin,VC,PCF0523-67,1,900,900
ADMIN,5/27/2023,FARE,Misc. Admin,VC,PCF0523-68,1,138,138
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/27/2023,FORKLIFT TIP,Misc. Operation,VC,PCF0523-69,1,550,550
21047794 (Service Request for Cathode Plate Buffing),5/6/2023,PAYROLL APRIL 24 - 30,Labor,,,1,55142.9,55142.9
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/6/2023,PAYROLL APRIL 24 - 30,Labor,,,1,24585.95,24585.95
21047794 (Service Request for Cathode Plate Buffing),5/6/2023,PAYROLL APRIL 24 - 30 (BUFFERS),Labor,,,1,10000,10000
ADMIN,5/6/2023,PAYROLL APRIL 24 - 30 (OVERHEAD),Overhead payroll,,,1,36691.54,36691.54
ADMIN,5/6/2023,PAYROLL APRIL 24 - 30 (UTILITIES),Overhead payroll,,,1,4800,4800
21047794 (Service Request for Cathode Plate Buffing),5/13/2023,PAYROLL MAY 1 - 7,Labor,,,1,17908.63,17908.63
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/13/2023,PAYROLL MAY 1 - 7,Labor,,,1,83058.71,83058.71
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/13/2023,PAYROLL MAY 1 - 7,Labor,,,1,11688.97,11688.97
21047794 (Service Request for Cathode Plate Buffing),5/13/2023,PAYROLL MAY 1 - 7 (BUFFERS),Labor,,,1,2999,2999
ADMIN,5/13/2023,PAYROLL MAY 1 - 7 (OVERHEAD),Overhead payroll,,,1,38508.23,38508.23
ADMIN,5/13/2023,PAYROLL MAY 1 - 7 (SAKI),Overhead payroll,,,1,13650,13650
ADMIN,5/13/2023,PAYROLL MAY 1 - 7 (UTILITIES),Overhead payroll,,,1,5000,5000
21047794 (Service Request for Cathode Plate Buffing),5/20/2023,PAYROLL MAY 8 - 14,Labor,,,1,8085.07,8085.07
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/20/2023,PAYROLL MAY 8 - 14,Labor,,,1,111644.06,111644.06
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/20/2023,PAYROLL MAY 8 - 14,Labor,,,1,40374.86,40374.86
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),5/20/2023,PAYROLL MAY 8 - 14,Labor,,,1,8597.33,8597.33
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/20/2023,PAYROLL MAY 8 - 14 (SCAFFOLDERS),Materials,,,1,23368.11,23368.11
21047794 (Service Request for Cathode Plate Buffing),5/20/2023,PAYROLL MAY 8 - 14 (BUFFERS),Labor,,,1,1500,1500
ADMIN,5/20/2023,PAYROLL MAY 8 - 14 (OVERHEAD),Overhead payroll,,,1,42084.67,42084.67
ADMIN,5/20/2023,PAYROLL MAY 8 - 14 (UTILITIES),Overhead payroll,,,1,4600,4600
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/27/2023,PAYROLL MAY 15 - 21,Labor,,,1,130506.92,130506.92
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),5/27/2023,PAYROLL MAY 15 - 21,Labor,,,1,45816.13,45816.13
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),5/27/2023,PAYROLL MAY 15 - 21,Labor,,,1,15653.4,15653.4
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),5/27/2023,PAYROLL MAY 15 - 21 (SCAFFOLDERS),Materials,,,1,16510.98,16510.98
ADMIN,5/27/2023,PAYROLL MAY 15 - 21 (OVERHEAD),Overhead payroll,,,1,45287.19,45287.19
ADMIN,5/27/2023,PAYROLL MAY 15 - 21 (SAKI),Overhead payroll,,,1,16900,16900
ADMIN,5/27/2023,PAYROLL MAY 15 - 21 (UTILITIES),Overhead payroll,,,1,2800,2800
ADMIN,5/27/2023,PAYROLL MAY 15 - 21  ADJUSTMENT,Overhead payroll,,,1,2040,2040
ADMIN,6/1/2023,ASSORTED PPE,PPE,VC,CV0623-01,1,3400,3400
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/1/2023,TILES AND GROUT,Materials,VC,222062,1,1328,1328
ADMIN,6/1/2023,STRADA FUEL,Fuels,OR,104090,1,1000,1000
ADMIN,6/2/2023,MINERAL WATER GALLONS,Materials,OR,13253,1,3280,3280
ADMIN,6/2/2023,GFCI OUTLET,Materials,VC,CV0623-05,1,4000,4000
ADMIN,6/2/2023,BOOKEEPING SERVICES,Misc. Admin,OR,4252,1,3000,3000
ADMIN,6/2/2023,WELDING GLOVES,PPE,VC,CV0623-07,1,2200,2200
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/2/2023,DEFORMED BAR,Materials,OR,226673,1,26555,26555
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/3/2023,PLYWOOD,Materials,VC,CV0623-13,1,2000,2000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/3/2023,GRINDING CUP WHEEL,Materials,OR,5692,1,824,824
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/3/2023,ASSORTED MATERIALS,Materials,OR,13064,1,170,170
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/3/2023,WHITEBOARD,Materials,OR,23469,1,688,688
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/3/2023,PAINT,Materials,OR,681,1,220,220
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/3/2023,NAILS,Materials,OR,14051,1,1005,1005
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/3/2023,NIGHTSHIFT MEALS,Misc. Operation,VC,PCF0623-11,1,800,800
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/3/2023,FLASHLIGHT,Materials,VC,PCF0623-05,1,922,922
ADMIN,6/3/2023,PCF VARIOUS PURCHASES,Misc. Admin,VC,,1,4606.05,4606.05
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/3/2023,PAYROLL MAY 22 - 28,Labor,,,1,139262.17,139262.17
21050448 (SERVICE REQUEST FOR ULTRA MICRO BALANCE ROOM RENOVATION AT LABORATORY FIRE ASSAY),6/3/2023,PAYROLL MAY 22 - 28,Labor,,,1,40407.27,40407.27
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/3/2023,PAYROLL MAY 22 - 28,Labor,,,1,19377.49,19377.49
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/3/2023,PAYROLL MAY 22 - 28 (SCAFFOLDERS),Materials,,,1,12955.77,12955.77
ADMIN,6/3/2023,PAYROLL MAY 22 - 28 (OVERHEAD),Overhead payroll,,,1,43824.88,43824.88
ADMIN,6/3/2023,PAYROLL MAY 22 - 28 (UTILITIES),Overhead payroll,,,1,2900,2900
ADMIN,6/3/2023,PAYROLL MAY 22 - 28 (ADJUSTMENT),Overhead payroll,,,1,1993,1993
ADMIN,6/5/2023,SAFETY BOOTS,PPE,VC,CV0623-16,1,1300,1300
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),6/5/2023,ASSORTED TOOLS,Tools and Equip,OR,14015,1,4050,4050
ADMIN,6/5/2023,ASSORTED PPE,PPE,VC,CV0623-18,1,1990,1990
ADMIN,6/6/2023,SAFETY BOOTS,PPE,VC,CV0623-19,1,3900,3900
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/6/2023,CHANNEL BARS AND ETC.,Materials,OR,411272,1,152452,152452
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/6/2023,DEFORMED BAR,Materials,OR,30745,1,52724.92,52724.92
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/6/2023,FREIGHT CHARGE,Materials,OR,411273,1,7000,7000
ADMIN,6/6/2023,VARIOUS CONSUMABLE MATERIALS,Materials,OR,CV0623-21,1,7660,7660
ADMIN,6/6/2023,BUDGET FOR CEBU,Misc. Admin,OR,CV0623-22,1,5500,5500
ADMIN,6/6/2023,PALAWAN EXPRESS,Misc. Admin,OR,CV0623-23,1,1380,1380
ADMIN,6/8/2023,ELECTRIC BILL,Power Utility,OR,CV0623-25,1,13472.51,13472.51
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),6/9/2023,VARIOUS MATERIALS,Materials,OR,14109,1,20200,20200
